#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;x;;
blood_of_vidugavia;Blood of Vidugavia;HÈritier d'Isildur;;;;;x
blood_of_vidugavia_desc;This character is a descendant of Vidugavia,the mightiest Prince of Rhovanion.;;;;;;x
blood_of_elemwe;Blood of ElemwÎ;HÈritier d'Isildur;;;;;x
blood_of_elemwe_desc;This character is a descendant of ElemwÎ, the son of Elmo, and the father of Lord Celeborn.;;;;;;x
blood_of_oropher;Blood of Oropher;HÈritier d'Isildur;;;;;x
blood_of_oropher_desc;This character is a descendant of Oropher who became the King of the Silvan Elves of Greenwood the Great.;;;;;;x
blood_of_amdir;Blood of AmdÌr;HÈritier d'Isildur;;;;;x
blood_of_amdir_desc;This character is a descendant of AmdÌr who was a Sindarin Elf of Doriath, who later became the King of LÛrien.;;;;;;x
blood_of_elwe;Blood of Elwe;HÈritier d'Isildur;;;;;x
blood_of_elwe_desc;This character is a descendant of Elwe,the first High King of the Sindar and the Lord of Beleriand.;;;;;;x
blood_of_olwe;Blood of Olwe;HÈritier d'Isildur;;;;;x
blood_of_olwe_desc;This character is a descendant of OlwÎ,the first King of the Teleri.;;;;;;x
blood_of_feanor;Blood of Feanor;HÈritier d'Isildur;;;;;x
blood_of_feanor_desc;This character is a descendant of FÎanor,the second High King of the —oldor,the maker of the Silmarils,the inventor of the Tengwar script, and the creator of the seven PalantÌri.;;;;;;x
blood_of_fingolfin;Blood of Fingolfin;HÈritier d'Isildur;;;;;x
blood_of_fingolfin_desc;This character is a descendant of Fingolfin,the second High King of the —oldor in Beleriand.;;;;;;x
blood_of_finarfin;Blood of Finarfin;HÈritier d'Isildur;;;;;x
blood_of_finarfin_desc;This character is a descendant of Finarfin,the High King of the —oldor in Valinor and the father of Galadriel.;;;;;;x
blood_of_durin;Blood of Durin;HÈritier d'Isildur;;;;;x
blood_of_durin_desc;This character is a descendant of Durin high king of the Dwarves.;Ce personnage est un descendant d'Isildur, le roi d'Arnor, qui trancha la main de Sauron durant la Dernière Alliance. Ce personnage est un des prÈtendants au trÙne du Gondor.;;;;;x
blood_of_dale;Blood of Girion;HÈritier d'Isildur;;;;;x
blood_of_dale_desc;This character is a descendant of Girion,the first Lord of Dale who was killed by the dragon Smaug.;;;;;;x
blood_of_imrazor;Blood of Imrazor;HÈritier d'Isildur;;;;;x
blood_of_imrazor_desc;This character is a descendant of ImrazÙr, the first Prince of Belfalas,and the sire of the Princes of Dol Amroth.;;;;;;x
blood_of_numenor2;Strong Traces of Numenorean Blood;Sang de Numenor;;;;;x
blood_of_numenor2_desc;This character has strong traces of N˙menorean heritage. Usually in the late 3rd Age such bloodlines are only found amongst the major houses of Arnor and Gondor, many others of their kin have mingled with lesser men over the generations and no longer have the long life of their ancestors.;Ce personnage montre des traces de l'antique sang de Numenor.;;;;;x
fake_blood_of_anarion;Blood of An·rion;Sang d'An·rion;;;;;x
fake_blood_of_anarion_desc;This character has strong traces of the blood of An·rion, second son of Elendil and younger brother of Isildur. His son Meneldil was the last man born in N˙menor before its downfall.;Ce personnage est un descendant d'Anarion, roi du Gondor, deuxiËme fils d'Elendil et frËre d'Isildur. Son fils Meneldil est le dernier homme a Ítre nÈ en Numenor avant sa submersion.;;;;;x
fake_blood_of_isildur;Blood of Isildur;HÈritier d'Isildur;;;;;x
fake_blood_of_isildur_desc;This character is an heir of Isildur, King of Arnor, who slayed Sauron during the War of the Last Alliance. He is an heir to the crown of Gondor.;Ce personnage est un descendant d'Isildur, le roi d'Arnor, qui trancha la main de Sauron durant la Dernière Alliance. Ce personnage est un des prÈtendants au trÙne du Gondor.;;;;;x
fake_blood_of_aldarion;Blood of Aldarion;HÈritier d'Isildur;;;;;x
fake_blood_of_aldarion_desc;This character is a descendant of Aldarion the third and youngest son of E‰rendur and the first King of Rhundaur.;Ce personnage est un descendant d'Isildur, le roi d'Arnor, qui trancha la main de Sauron durant la Dernière Alliance. Ce personnage est un des prÈtendants au trÙne du Gondor.;;;;;x
fake_blood_of_thorondor;Blood of Thorondor;HÈritier d'Isildur;;;;;x
fake_blood_of_thorondor_desc;This character is a descendant of Thorondor the second son of E‰rendur and the first King of Cardolan.;Ce personnage est un descendant d'Isildur, le roi d'Arnor, qui trancha la main de Sauron durant la Dernière Alliance. Ce personnage est un des prÈtendants au trÙne du Gondor.;;;;;x
fake_blood_of_valandil;Blood of Valandil;HÈritier d'Isildur;;;;;x
fake_blood_of_valandil_desc;This character is a descendant of Valandil, The founder of the Lords of And˙niÎ in the western region of Andustar on N˙menor, and the grandson of Tar-Elendil.;;;;;;x
fake_blood_of_arpharazon;Blood of Elros Tar-Minyatur;HÈritier d'Isildur;;;;;x
fake_blood_of_arpharazon_desc;This character is a descendant of Elros Tar-Minyatur,the first King of N˙menor and brother of Elrond Half-Elven.;;;;;;x
fake_blood_of_nowe;Blood of Nowe;HÈritier d'Isildur;;;;;x
fake_blood_of_nowe_desc;This character is a descendant of NowÎ, The second Lord of the Grey Havens,and former Lord of the Falas.;;;;;;x
fake_blood_of_hurin;Blood of Hurin;HÈritier d'Isildur;;;;;x
fake_blood_of_hurin_desc;This character is a descendant of H˙rin, the first known Steward to the King of Gondor and an ancestor of the Ruling Stewards of Gondor.;;;;;;x
fake_blood_of_vidugavia;Blood of Vidugavia;HÈritier d'Isildur;;;;;x
fake_blood_of_vidugavia_desc;This character is a descendant of Vidugavia,the mightiest Prince of Rhovanion.;;;;;;x
fake_blood_of_elemwe;Blood of ElemwÎ;HÈritier d'Isildur;;;;;x
fake_blood_of_elemwe_desc;This character is a descendant of ElemwÎ, the son of Elmo, and the father of Lord Celeborn.;;;;;;x
fake_blood_of_oropher;Blood of Oropher;HÈritier d'Isildur;;;;;x
fake_blood_of_oropher_desc;This character is a descendant of Oropher who became the King of the Silvan Elves of Greenwood the Great.;;;;;;x
fake_blood_of_amdir;Blood of AmdÌr;HÈritier d'Isildur;;;;;x
fake_blood_of_amdir_desc;This character is a descendant of AmdÌr who was a Sindarin Elf of Doriath, who later became the King of LÛrien.;;;;;;x
fake_blood_of_elwe;Blood of Elwe;HÈritier d'Isildur;;;;;x
fake_blood_of_elwe_desc;This character is a descendant of Elwe,the first High King of the Sindar and the Lord of Beleriand.;;;;;;x
fake_blood_of_olwe;Blood of Olwe;HÈritier d'Isildur;;;;;x
fake_blood_of_olwe_desc;This character is a descendant of OlwÎ,the first King of the Teleri.;;;;;;x
fake_blood_of_feanor;Blood of Feanor;HÈritier d'Isildur;;;;;x
fake_blood_of_feanor_desc;This character is a descendant of FÎanor,the second High King of the —oldor,the maker of the Silmarils,the inventor of the Tengwar script, and the creator of the seven PalantÌri.;;;;;;x
fake_blood_of_fingolfin;Blood of Fingolfin;HÈritier d'Isildur;;;;;x
fake_blood_of_fingolfin_desc;This character is a descendant of Fingolfin,the second High King of the —oldor in Beleriand.;;;;;;;x
fake_blood_of_finarfin;Blood of Finarfin;HÈritier d'Isildur;;;;;x
fake_blood_of_finarfin_desc;This character is a descendant of Finarfin,the High King of the —oldor in Valinor and the father of Galadriel.;;;;;;x
fake_blood_of_durin;Blood of Durin;HÈritier d'Isildur;;;;;x
fake_blood_of_durin_desc;This character is a descendant of Durin high king of the Dwarves.;Ce personnage est un descendant d'Isildur, le roi d'Arnor, qui trancha la main de Sauron durant la Dernière Alliance. Ce personnage est un des prÈtendants au trÙne du Gondor.;;;;;x
fake_blood_of_dale;Blood of Girion;HÈritier d'Isildur;;;;;x
fake_blood_of_dale_desc;This character is a descendant of Girion,the first Lord of Dale who was killed by the dragon Smaug.;;;;;;x
fake_blood_of_imrazor;Blood of Imrazor;HÈritier d'Isildur;;;;;x
fake_blood_of_imrazor_desc;This character is a descendant of ImrazÙr, the first Prince of Belfalas,and the sire of the Princes of Dol Amroth.;;;;;;x
hidden_blood_of_anarion;Blood of An·rion;Sang d'An·rion;;;;;x
hidden_blood_of_anarion_desc;This character has strong traces of the blood of An·rion, second son of Elendil and younger brother of Isildur. His son Meneldil was the last man born in N˙menor before its downfall.;Ce personnage est un descendant d'Anarion, roi du Gondor, deuxiËme fils d'Elendil et frËre d'Isildur. Son fils Meneldil est le dernier homme a Ítre nÈ en Numenor avant sa submersion.;;;;;x
hidden_blood_of_isildur;Blood of Isildur;HÈritier d'Isildur;;;;;x
hidden_blood_of_isildur_desc;This character is an heir of Isildur, King of Arnor, who slayed Sauron during the War of the Last Alliance. He is an heir to the crown of Gondor.;Ce personnage est un descendant d'Isildur, le roi d'Arnor, qui trancha la main de Sauron durant la Dernière Alliance. Ce personnage est un des prÈtendants au trÙne du Gondor.;;;;;x
hidden_blood_of_aldarion;Blood of Aldarion;HÈritier d'Isildur;;;;;x
hidden_blood_of_aldarion_desc;This character is a descendant of Aldarion the third and youngest son of E‰rendur and the first King of Rhundaur.;Ce personnage est un descendant d'Isildur, le roi d'Arnor, qui trancha la main de Sauron durant la Dernière Alliance. Ce personnage est un des prÈtendants au trÙne du Gondor.;;;;;x
hidden_blood_of_thorondor;Blood of Thorondor;HÈritier d'Isildur;;;;;x
hidden_blood_of_thorondor_desc;This character is a descendant of Thorondor the second son of E‰rendur and the first King of Cardolan.;Ce personnage est un descendant d'Isildur, le roi d'Arnor, qui trancha la main de Sauron durant la Dernière Alliance. Ce personnage est un des prÈtendants au trÙne du Gondor.;;;;;x
hidden_blood_of_valandil;Blood of Valandil;HÈritier d'Isildur;;;;;x
hidden_blood_of_valandil_desc;This character is a descendant of Valandil, The founder of the Lords of And˙niÎ in the western region of Andustar on N˙menor, and the grandson of Tar-Elendil.;;;;;;x
hidden_blood_of_arpharazon;Blood of Elros Tar-Minyatur;HÈritier d'Isildur;;;;;x
hidden_blood_of_arpharazon_desc;This character is a descendant of Elros Tar-Minyatur,the first King of N˙menor and brother of Elrond Half-Elven.;;;;;;x
hidden_blood_of_nowe;Blood of Nowe;HÈritier d'Isildur;;;;;x
hidden_blood_of_nowe_desc;This character is a descendant of NowÎ, The second Lord of the Grey Havens,and former Lord of the Falas.;;;;;;x
hidden_blood_of_hurin;Blood of Hurin;HÈritier d'Isildur;;;;;x
hidden_blood_of_hurin_desc;This character is a descendant of H˙rin, the first known Steward to the King of Gondor and an ancestor of the Ruling Stewards of Gondor.;;;;;;x
hidden_blood_of_vidugavia;Blood of Vidugavia;HÈritier d'Isildur;;;;;x
hidden_blood_of_vidugavia_desc;This character is a descendant of Vidugavia,the mightiest Prince of Rhovanion.;;;;;;x
hidden_blood_of_elemwe;Blood of ElemwÎ;HÈritier d'Isildur;;;;;x
hidden_blood_of_elemwe_desc;This character is a descendant of ElemwÎ, the son of Elmo, and the father of Lord Celeborn.;;;;;;x
hidden_blood_of_oropher;Blood of Oropher;HÈritier d'Isildur;;;;;x
hidden_blood_of_oropher_desc;This character is a descendant of Oropher who became the King of the Silvan Elves of Greenwood the Great.;;;;;;x
hidden_blood_of_amdir;Blood of AmdÌr;HÈritier d'Isildur;;;;;x
hidden_blood_of_amdir_desc;This character is a descendant of AmdÌr who was a Sindarin Elf of Doriath, who later became the King of LÛrien.;;;;;;x
hidden_blood_of_elwe;Blood of Elwe;HÈritier d'Isildur;;;;;x
hidden_blood_of_elwe_desc;This character is a descendant of Elwe,the first High King of the Sindar and the Lord of Beleriand.;;;;;;x
hidden_blood_of_olwe;Blood of Olwe;HÈritier d'Isildur;;;;;x
hidden_blood_of_olwe_desc;This character is a descendant of OlwÎ,the first King of the Teleri.;;;;;;x
hidden_blood_of_feanor;Blood of Feanor;HÈritier d'Isildur;;;;;x
hidden_blood_of_feanor_desc;This character is a descendant of FÎanor,the second High King of the —oldor,the maker of the Silmarils,the inventor of the Tengwar script, and the creator of the seven PalantÌri.;;;;;;x
hidden_blood_of_fingolfin;Blood of Fingolfin;HÈritier d'Isildur;;;;;x
hidden_blood_of_fingolfin_desc;This character is a descendant of Fingolfin,the second High King of the —oldor in Beleriand.;;;;;;x
hidden_blood_of_finarfin;Blood of Finarfin;HÈritier d'Isildur;;;;;x
hidden_blood_of_finarfin_desc;This character is a descendant of Finarfin,the High King of the —oldor in Valinor and the father of Galadriel.;;;;;;x
hidden_blood_of_durin;Blood of Durin;HÈritier d'Isildur;;;;;x
hidden_blood_of_durin_desc;This character is a descendant of Durin high king of the Dwarves.;Ce personnage est un descendant d'Isildur, le roi d'Arnor, qui trancha la main de Sauron durant la Dernière Alliance. Ce personnage est un des prÈtendants au trÙne du Gondor.;;;;;x
hidden_blood_of_dale;Blood of Girion;HÈritier d'Isildur;;;;;x
hidden_blood_of_dale_desc;This character is a descendant of Girion,the first Lord of Dale who was killed by the dragon Smaug.;;;;;;x
hidden_blood_of_imrazor;Blood of Imrazor;HÈritier d'Isildur;;;;;x
hidden_blood_of_imrazor_desc;This character is a descendant of ImrazÙr, the first Prince of Belfalas,and the sire of the Princes of Dol Amroth.;;;;;;x
#Melkor;;;;;;;
balrog;Balrog;Balrog;;;;;x
balrog_desc;Balrogs are the Valaraukar, spirits of the Maiar that were seduced and corrupted by Melkor into his service.;Les Balrogs sont les Valaraukar, Maiar de feu corrompus par Melkor et qui depuis, servent son pouvoir.;;;;;x
dragon;Dragon;Dragon;;;;;x
dragon_desc;This character is a dragon, an ancient race of flying reptile-like creatures, created by Melkor.;Ce personnage est un Dragon, une race ancienne crÈÈe par Melkor.;;;;;x
nazgul;Nazg˚l;Nazgul;;;;;x
nazgul_desc;This character is a Nazg˚l, a Ring-Wraith, one of the nine kings of men given rings of power by Sauron and now among his most terrible servants.;Ce personnage est un Nazgul, un esprit servent de l'Anneau. Homme jadis, il a ÈtÈ corrompu par l'un des neuf Anneaux des Hommes.;;;;;x
orc;Creature of Melkor;;;;;;x
orc_desc;This character belongs to one of the corrupted races, created by Melkor.;;;;;;x
orkish;At Deaths Door;;;;;;x
orkish_desc;This character is going to die.;;;;;;x
half_orc;Creature of Melkor;Creature of Melkor;;;;;x
half_orc_desc;This character belongs to one of the corrupted races, created by Melkor.;Ce personnage a du sang d'orc dans les veines, ce qui en fait une crÈature horrible.;;;;;x
spider;Great Spider;AraignÈe;;;;;x
spider_desc;Great Spiders, also known as the Spawn of Ungoliant, are a race of oversized arachnids that live in Middle-Earth, particularly in dark and perilous places. The Spiders can speak to one another, though only those imbued with the power of the Ainur could understand them. Like Orcs and Goblins, Spiders are known to detest light.;Les Grandes AraignÈes, aussi connues sous le terme de Descendantes d'Ungoliant, sont une race d'araignÈes gÈantes vivant en Terre du Milieu, particuliËrement dans les endroits sombres et dangereux. Elles possËdent un langage qui leur est propre, et qui peut Ítre traduit par le Pouvoir d'un Ainur. Comme les Orques ou les Gobelins, elles detestent la lumiËre.;;;;;x
wight;Wight;Ombre;;;;;x
wight_desc;Wight is the name given to undead beings, especially those which inhabit the tombs of D˙nedain nobles, taking their power from a buried lord.;;;;;;x
cold_drake;RinglÛkÎ;RinglÛkÎ;;;;;x
cold_drake_desc;"The RinglÛki (Cold-drakes) were lesser dragons; those of dragon-kind who did not have the ability to make fire.";"Les RinglÛki ou Dragons-de-Glace sont une des especes de dragons moindres; une espËce de dragon qui n'a pas la possibilitÈ de cracher du feu, mais capable de voler.";;;;;x
uruloke;UrulÛkÎ;UrulÛkÎ;;;;;x
uruloke_desc;UrulÛkÎ (plural UrulÛki) is the Quenya name of the fire-drakes, the more powerful of the two fundamental divisions of dragon-kind (the other being the cold-drakes), who, as the name suggests, were able to breathe fire. Glaurung, the Father of Dragons, was the first of the species.;UrulÛkÎ (pluriel Uruloki) est le nom quenya des dragons-de-feu, la plus puissante des deux especes principales de la race des Dragons (l'autre Ètant les Dragons-de-Glace), qui, comme son nom l'indique, est en mesure de cracher du feu. Glaurung, le PËre des Dragons, a ÈtÈ le premier de cette espËce.;;;;;x
long_worms;Penr·malÛkÎ;Penr·malÛkÎ;;;;;x
long_worms_desc;"The Penr·malÛki, or ""Drakes without Wings"", are Long Worms, a type of dragon found in the northern parts of Middle-earth, and perhaps elsewhere, generally believed to be long and without legs. The most famous long-worm (and in fact the only one mentioned as such) was Scatha, who preyed on the Dwarves and Men of the Grey Mountains, and was slain by Fram of the …othÈod.";"Les Penr·malÛki, ou ""Dragons sans ailes"", sont des Grands-Vers, un type de Dragon trouvÈ dans les rÈgions du nord de la Terre du Milieu, et peut-Ítre ailleurs, gÈnÈralement dÈcrits comme longs et sans jambes. Le plus cÈlËbre long-ver (et en fait le seule mentionnÈ en tant que tel) Ètait Scatha, qui a attaquÈ les Nains et les Hommes des Montagnes Grises, et fut tuÈ par Fram de l'…othÈod.";;;;;x
#Elves;;;;;;;
beard_elf;Third Cycle of Life;TroisiËme Cycle de la Vie;;;;;x
beard_elf_desc;This character is very old, even for an Elf, and is now in the third cycle of their life. This great age adorns him with a beard, an unusual feature in an Elf.;Ce personnage est rÈellement ‚gÈ, mÍme pour un elfe, et est entrÈ dans le TroisiËme Cycle de sa vie. C'est pourquoi une barbe pousse sur son visage, alors que la plupart de son peuple est imberbe.;;;;;x
elf;Elf;Elf;;;;;x
elf_desc;This character is one of the Eldar, known in the common-tongue as Elves, this race is amongst the most noble in Middle-Earth. They are famed for their natural gifts of immortality, craftsmanship and skill in battle.;Ce personnage est l'un des Eldar.;;;;;x
elf_childhood;Elven Childhood;Enfance Elfe;;;;;x
elf_childhood_desc;This elf is not an adult, and is still in his childhood. ;Cet elfe n'est pas encore un adulte, et est toujours dans l'enfance.;;;;;x
half_elf;Half-Elf;Semi-Elfe;;;;;x
half_elf_desc;This character is born from an Elf and a Man.;Ce personnage est nÈ d'un parent humain, et d'un parent elfe.;;;;;x
elven_blood;Elven Blood;Sang Elfique;;;;;x
elven_blood_desc;This character has Elvish blood, passed on from an Elvish ancestor.;Ce personnage a du sang elfique en lui, car un de ses ancêtres est un elfe.;;;;;x
elven_infertility;Elven infertility;InfertilitÈ des Elfes;;;;;x
elven_infertility_desc;This elf maiden may mother no more children.;Cette elfe a dÈj‡ eu quelques enfants, et ne semble plus pouvoir tomber enceinte.;;;;;x
#Ainur;;;;;;;
eagle;Great Eagle;Grand Aigle;;;;;x
eagle_desc;"The Eagles were birds that served as messengers of ManwÎ. Among those were the Great Eagles, immense birds who were sentient and capable of speech, and often helped Men, Elves and Wizards in the quests to defeat evil. They were ""devised"" by ManwÎ S˙limo, King of the Valar, and were often called the Eagles of ManwÎ.";"Les Eagles sont des oiseaux qui ont servi de messagers de ManwÎ. Parmi eux, les Grands Aigles, d'immenses oiseaux qui Ètaient plus intelligents et capables de parler, ont souvent aidÈs les hommes, elfes et magiciens dans les quÍtes pour vaincre le Mal. Ils ont ÈtÈ ""conÁus"" par ManwÎ S˙limo, roi des Valar, et Ètaient souvent appelÈs les Aigles de ManwÎ.";;;;;x
enigma;Enigma;Enigme;;;;;x
enigma_desc;This characters is an Enigma, and their origins a mystery.;Ce personnage est une Ènigme, et personne ne sait vraiment qui il est.;;;;;x
maiar;Maia;Maia;;;;;x
maiar_desc;This character is one of the Maiar, a lesser Ainur, created at the beginning of time.;Ce personnage est l'un des Ainur.;;;;;x
valar;Vala;Vala;;;;;x
valar_desc;This character is one of the greater Ainur, a demi-god, and resides in Valinor.;Ce personnage est l'un des Ainur, et vit dans les Terres Immortelles de Valinor.;;;;;x
#Dwarves;;;;;;;
heir_of_durin;Heir of Durin I;HÈritier de Durin I;;;;;x
