#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
ca_azanulimbardum2;Mine-Fortress of Geiloth;Azanulimbar-dûm;;;;;;;;;;;;;x
ca_azanulimbardum3;Mine-Fortress of Geiloth;Azanulimbar-dûm;;;;;;;;;;;;;x
ca_azanulimbardum_desc;The extensive copper mines of Gelioth were quickly exhausted before the first age. When Morgoth returned, the Dwarves of the Vale decided to convert the extensive mines into fortresses, barracks, and refuges for those displaced by war.;Bien que moins célèbres que la Moria ou Erebor, les grandes salles des nains Poings de Fer n'en sont pas moins imposantes.;;;;;;;;;;;;x
ca_nurunkhizdin;Architect-Guild of Gabil-Gathol;;;;;;;;;;;;;;x
ca_nurunkhizdin1;Architect-Guild of Gabil-Gathol;;;;;;;;;;;;;;x
ca_nurunkhizdin2;Architect-Guild of Gabil-Gathol;;;;;;;;;;;;;;x
ca_nurunkhizdin3;Architect-Guild of Gabil-Gathol;;;;;;;;;;;;;;x
ca_nurunkhizdin_desc;With their signatures adorning the great subturranean capitals of Beleriand, the ancient guild of Broadbeam Architects in Belegost are counted as the greatest craftsmen in Middle-Earth.;Bien que moins célèbres que la Moria ou Erebor, les grandes salles des nains Boucles Noires n'en sont pas moins imposantes.;;;;;;;;;;;;x
ca_tamnogoth;Smith-Guild of Tumunzahar;;;;;;;;;;;;;;x
ca_tamnogoth1;Smith-Guild of Tumunzahar;;;;;;;;;;;;;;x
ca_tamnogoth2;Smith-Guild of Tumunzahar;;;;;;;;;;;;;;x
ca_tamnogoth3;Smith-Guild of Tumunzahar;;;;;;;;;;;;;;x
ca_tamnogoth_desc;The imposing halls of the Firebeard dwarves are home to the greatest guild of Master Smiths in Middle-Earth, famed for the creation of many legendary artifacts.;Sans rivaliser avec la cité perdue de Nogrod, les grandes salles des nains Barbes de Feu restent impressionnantes.;;;;;;;;;;;;x
ca_zirakdum;;Citadel of Dolmed; Zirakdum;;;;;;;;;;;;;x
ca_zirakdum1;;Citadel of Dolmed; Zirakdum;;;;;;;;;;;;;x
ca_zirakdum2;;Citadel of Dolmed; Zirakdum;;;;;;;;;;;;;x
ca_zirakdum3;Citadel of Dolmed; Zirakdum;;;;;;;;;;;;;x
ca_zirakdum_desc;Built into the mountain where the fathers of Nogrod and Belegost first awakened, the most ancient citadel of Dolmed is a sacred patch of neutral ground between the dwarves of the Ered Luin.;Bien que moins célèbres que la Moria ou Erebor, les grandes salles des nains Barbes Drues n'en sont pas moins imposantes.;;;;;;;;;;;;x
ca_DInnerFortification_1;Inner Fortifications;Fortifications Internes;;;;;;;;;;;;;x
ca_DInnerFortification_2;Inner Fortifications;Fortifications Internes;;;;;;;;;;;;;x
ca_DInnerFortification_3;Inner Fortifications;Fortifications Internes;;;;;;;;;;;;;x
ca_DInnerFortification_4;Inner Fortifications;Fortifications Internes;;;;;;;;;;;;;x
ca_DInnerFortification_5;Inner Fortifications;Fortifications Internes;;;;;;;;;;;;;x
ca_DInnerFortification_6;Inner Fortifications;Fortifications Internes;;;;;;;;;;;;;x
ca_DInnerFortification_1_desc;Those fortifications within the structure itself have two objectives : strengthening it for additionnal expansion, and adding protection against outer invaders.;Ce renforcement interne a pour but de renforcer l'ensemble de la structure afin de l'étendre davantage, mais elle permet aussi une meilleure protection contre des envahisseurs.;;;;;;;;;;;;;x
ca_mithrilforges_1;Mithril Forges;Forges à Mithril;;;;;;;;;;;;;x
ca_mithrilforges_2;Mithril Forges;Forges à Mithril;;;;;;;;;;;;;x
ca_mithrilforges_3;Mithril Forges;Forges à Mithril;;;;;;;;;;;;;x
ca_mithrilforges_4;Mithril Forges;Forges à Mithril;;;;;;;;;;;;;x
ca_mithrilforges_5;Mithril Forges;Forges à Mithril;;;;;;;;;;;;;x
ca_mithrilforges_6;Mithril Forges;Forges à Mithril;;;;;;;;;;;;;x
ca_mithrilforges_desc;Here, dwarven mastersmiths make wonderfull armor and weapons with mithril!;Ici, les maîtres forgerons nains fabriquent de formidables armes et armures en mithril.;;;;;;;;;;;;;x
ca_assembly_dwarves_1;Great Hall of the Assembly;Grande Salle de l'Assemblée des Nains;;;;;x
ca_assembly_dwarves_2;Great Hall of the Assembly;Grande Salle de l'Assemblée des Nains;;;;;x
ca_assembly_dwarves_3;Great Hall of the Assembly;Grande Salle de l'Assemblée des Nains;;;;;x
ca_assembly_dwarves_4;Great Hall of the Assembly;Grande Salle de l'Assemblée des Nains;;;;;x
ca_assembly_dwarves_5;Great Hall of the Assembly;Grande Salle de l'Assemblée des Nains;;;;;x
ca_assembly_dwarves_6;Great Hall of the Assembly;Grande Salle de l'Assemblée des Nains;;;;;x
ca_assembly_dwarves_desc;In the Great Hall, the Dwarves of all Clans meet to decide who will rule all the Mountains during his mandate.;Dans cette Grande Salle, les Nains de tout les Clans se réunissent pour décider qui gouvernera toutes les Montagnes pendant un mandat.;;;;;x
ca_assembly_guard_1;Assembly Honor Guard;Garde d'Honneur de l'Assemblée;;;;;x
ca_assembly_guard_2;Assembly Honor Guard;Garde d'Honneur de l'Assemblée;;;;;x
ca_assembly_guard_3;Assembly Honor Guard;Garde d'Honneur de l'Assemblée;;;;;x
ca_assembly_guard_4;Assembly Honor Guard;Garde d'Honneur de l'Assemblée;;;;;x
ca_assembly_guard_desc;This is were the guards of the assembly stay to protect it.;C'est ici que les gardes de l'Assemblée demeurent pour la défendre.;;;;;x
ca_assembly_archives_1;Archives of the Assembly;Archives de l'Assemblée;;;;;x
ca_assembly_archives_2;Archives of the Assembly;Archives de l'Assemblée;;;;;x
ca_assembly_archives_3;Archives of the Assembly;Archives de l'Assemblée;;;;;x
ca_assembly_archives_desc;Those archives allows the elected king to rule more efficiently.;Ces archives permettent au Roi élu de gouverner plus efficacement.;;;;;x
ca_Dstatue_0_desc;These halls are empty and any dwarf will note the absence of even the most modest statue of the owner's Ancestors.;Ces salles sont terriblement vides, et n'importe quel Nain notera l'absence de la moindre statue honorant les Ancêtres.;;;;;x
ca_Dstatue_0;Empty Halls;Salles Vides;;;;;x
ca_Dstatue_1_desc;These statues represent the Seven Fathers of the Dwarves. May their spirits guide us in the deep.;Ces statues représentent les Anciens Rois des Nains. Puissent leurs esprits nous guider dans les profondeurs.;;;;;x
ca_Dstatue_1;Stone Statues;Statues de Pierre;;;;;x
ca_Dstatue_2;Marble Statues;Statues de Marbre;;;;;x
ca_Dstatue_3;Bronzed Statues;Statues de Bronze;;;;;x
ca_Dstatue_4;Gilded Statues;Statues Dorées;;;;;x
ca_Dstatue_5;Colossal Statues;Statues d'Or incrustées de Gemmes;;;;;x
ca_Dwater_system_0;No Water System;Pas d'Eau Courante;;;;;x
ca_Dwater_system_0_desc;Without neither water nor sewer system, diseases come easily and the population growth is slowed.;Sans système d'apport d'eau ni d'égouts, les maladies se développent facilement et la population en souffre.;;;;;x
ca_Dwater_system_1;Basic Water System;Egouts et Acqueducs;;;;;x
ca_Dwater_system_2;Advanced Water System;Egouts et Acqueducs Avancés;;;;;x
ca_Dwater_system_1_desc;With some sewers and water system, the population's life is easier and its growth better.;Avec un système d'égouts et d'eau courante, la vie de la population est plus simple et de meilleure qualité.;;;;;x
