#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;;x
#CULTURE GROUPS;;;;;;;;x
culture_angbandim;Angbandim;;;;;;;x
culture_ironfist;Ironfist;Poings-de-Fer;;;Pugniferro;;x
culture_stiffbeard;Stiffbeard;Barbes-Touffues;;;Barbedure;;x
culture_blacklock;Blacklock;Boucles-Noires;;;Nerachiave;;x
culture_stonefoot;Stonefoot;Pieds-de-Pierre;;;Piediroccia;;x
culture_minyar;Minyar;Minyar;;;Minyar;;x
culture_tatyar;Tatyar;Tatyar;;;Tatyar;;x
culture_nelyar;Nelyar;Nelyar;;;Nelyar;;x
culture_teleri;Teleri;Teleri;;;Teleri;;x
culture_vanyar;Vanyar;Vanyar;;;Vanyar;;x
culture_noldor;Ñoldor;Ñoldor;;;Ñoldor;;x
culture_noldor_desc;Although they now reside in Endor, most Ñoldor, particularly in the first centuries of their exile, held onto the Quenya language and traditions of Tirion.;Ñoldor;;;Ñoldor;;x
culture_falmari;Falmari;Falmari;;;Falmari;;x
culture_sindar;Sindar;Sindar;;;Sindar;;x
culture_eglath;Eglath;Eglath;;;Eglath;;x
culture_eglath_desc;When the Grey-Elves aborted their Great Journey to remain in Endor with their lord Elu, many did not join him in the forest of Eglador.  Instead they wandered throughout Beleriand, known as the Eglath, or forsaken.;;;;;;;x
culture_doriathrim;Iathrim;Doriathrim;;;Doriathrim;;x
culture_mithrim;Mithrim;Mithrim;;;Mithrim;;x
culture_falathrim;Falathrim;Falathrim;;;Falathrim;;x
culture_falathrim_opinion;Falathrim Opinion;;;;;;;;;;;;x
culture_eglath_desc;The Eglath who elected to remain in the Falas with their lord Círdan rather than completing the great journey became known as the Falathrim, great mariners and merchants whose ships would prove invaluable during the tumultuous First Age.;;;;;;;x
culture_nandor;Nandor;Nandor;;;Nandor;;x
culture_nandor_opinion;Nandor Opinion;;;;;;;;;;;;x
culture_laegrim;Laegrim;Laegrim;;;Laegrim;;x
culture_laegrim_opinion;Laegrim Opinion;;;;;;;;;;;;x
culture_silvan;Silvan;Silvan;;;Silvan;;x
culture_avari;Windan;;;;;;;x
culture_avari_desc;The Windan Avari, descendend from the Hwendim Avari, are those Avarin Elves who migrated west and peopled many of the deep woods of Eriador and Beleriand.  They are comprised of six clans who historically have each valued their own independence while retaining pride in a common heritage.;;;;;;;x
culture_entish;Ent;Ent;;;Ent;;x
culture_huorn;Huorns;Huorn;;;Ucorni;;x
culture_maiar;Maiar;Maiar;;;Maiar;;x
culture_valar;Valar;Valar;;;Valar;;x
culture_enigma;Unknown;Inconnu;;;Ignoti;;x
culture_istari;Istari;Istari;;;Istari;;x
culture_half_orc;Half Orcs;Semi-Orque;;;;;;x
culture_urukhai;Uruk-hai;Uruk-hai;;;;;;x
culture_goblin;Goblins;Gobelin;;;;;;x
culture_orkish;Orcs;Orque;;;Orchi;;x
culture_troll;Trolls;Troll;;;;;;x
culture_balrog;Balrog;Balrog;;;Balrog;;x
culture_dragons;Dragons;Dragon;;;Draghi;;x
culture_spider;Spiders;Araignée;;;Ragni;;x
culture_wilderness;Wilderness;Vie Sauvage;;;Terre Selvagge;;x
culture_wilderness_desc;This empty land is not peopled.;Vie Sauvage;;;Terre Selvagge;;x
culture_wight;Wights;Ombre;;;Spettri;;x
culture_daoine;Daoine;Daoine;;;Daoine;;x
culture_nuriags;Nûriags;Nûriag;;;Nûriag;;x
culture_khundolars;Khundolars;Khundolar;;;Khundolar;;x
culture_jangovars;Jangovars;Jangovar;;;Jangovar;;x
culture_umbareans;Umbareans;Umbarien;;;Umbarim;;x
culture_bellakaze;Bellakaze;Bellakaze;;;Bellakaze;;x
culture_eagles;Great Eagles;Grand Aigle;;;Grandi Aquile;;x
culture_mountains;Mountains;Mountains;;;Montagne;;x
culture_eredrim;Eredrim;Eredrim;;;Eredrim;;x
culture_ethirfolk;Sakalai;Sakalai;;;Sakalai;;x
culture_dorwinrim;Dorwinrim;Dorwinrim;;;Dorwinrim;;x
culture_petty_dwarves;Petty-Dwarves;Petits-Nains;;;;;;x
culture_umaiar;Úmaiar;;;;;;;x
culture_helmivalmistajat;Helmivalmistajat;;;;;;;x
culture_helmivalmistajat_desc;The Helmivalmistajat, or "Bead-Makers", are an ancient nomadic culture of the far north who are thought to be predecessors of the Forodwaith peoples.;;;;;;;x
culture_egledhrim;Egledhrim;;;;;;;x
culture_egledhrim_desc;After their exile from Arda and their further disinheritence from the High Kingdom of the Noldor, the lords of the House of Fëanor became a very different people from Fingolfin or Finarfin's people, adopting elements of the East Beleriandic Sindarin cultures where their realms lay.;;;;;;x
culture_egledhrim_opinion;Egledhrim Opinion;;;;;;;;;;;;x
culture_golodhrim;Golodhrim;;;;;;;x
culture_golodhrim_desc;The people of Fingolfin settled with the Mithrim Elves in the land of Hithlum, and over the centuries, under the crown of the High King, their people became one. The Ñoldor adopted the Mithrim Sindarin language, while their Grey-Elf subjects were elevated to the wisdom and grandeur of the High Elves.;;;;;;x
culture_gondolindrim;Gondolindrim;;;;;;;x
culture_gondolindrim_desc;The people of Turgon, while of the host of Fingolfin, elected to follow their lord as he founded the city of Vinyamar and claimed kingship of Nevrast.  By the time Gondolin was built and Turgon's people abandoned the coast, the Ñoldor of Turgon and the Nevrathrim Sindar who followed them to the Hidden Vale were nearly indistinguishable.;;;;;;x
culture_lossidil;Lossidil;;;;;;;x
culture_lossidil_desc;The Lossidil are those Sindar who have adapted to their new frigid homes in the far north by adopting many of the traditions and practicies of the Hwendi and Forodwaith peoples.;;;;;;x
culture_sirannar;Sirannar;;;;;;;x
culture_sirannar_desc;The Sirannar are a people closely related to the Green-Elves of Ossiriand, but whose homeland lies in Southwestern Arthedain, in Eriador.  The Sirannar would come to make up much of the Nandor population of Lindon in the Second Age.;;;;;;x
culture_hwendim;Hwendim;;;;;;;x
culture_hwendim_desc;The reclusive Hwendi, also known as Ice-Elves or Frost-Elves, are an Avarin culture of Taiga-dwelling nomads who settled in limited numbers along the coasts and river valleys of Forodwaith.;;;;;;x
culture_hadoran;Hadorim;;;;;;;x
culture_hadoran_desc;The Hadorim, as they became known, where the folk of the Maradin who followed Hador into service with the elves.;;;;;;x
culture_ulbandim;Ulbandim;;;;;;;x
culture_ulbandim_desc;The Ulbandim, the 'Homeless-people', known by the Edain as the 'Wolf-folk', were those corrupted easterlings of the House of Ulfang who conquered Hithlum after the Treachery of Men.;;;;;;x
culture_boradin;Bóradin;;;;;;;x
culture_boradin_desc;The Bóradin were the folk of Bór the faithful, whose house stood with the Union of Maedhros during the Treachery of Men.;;;;;;x
culture_brethilrim;Brethelin;;;;;;;x
culture_brethilrim_desc;The Wood-Men of Brethil were the descendents of the Haladin, the people of the house of Haldad, the folk of Haleth, who settled brethil in the First Age.;;;;;;x
culture_hisildi;Hisildi;;;;;;x
culture_hisildi_desc;The Hisildin Avari tribes, the 'Twilight-Elves', remained at the waters of Cuiviénen after the awakening of the elves.  Their chiefdom in the far east of Middle-Earth was known as Helkanen.;;;;;;x
culture_kul_uruk;Ice-Orcs;;;;;;x
culture_kul_uruk_desc;The 'Kul Uruk' Ice-Orcs were bred in the War for the Sake of the Elves as guardians of the Ered Engrin.  A heartier breed than Angbandim orcs, they thrive in frigid temperatures and high elevations.;;;;;;x
