#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
WELCOME_HEADER;Welcome to Crusader Kings II;Bienvenue à Crusader Kings II;Willkommen zu Crusader Kings II;;Bienvenido a Crusader Kings II;;;;;;;;;x
#LIEGE_LEVY_TRIBAL;Independent Tribal Rulers do not get liege levies from their vassals;Les dirigeants tribaux indépendants ne peuvent percevoir des levées seigneuriales de leurs vassaux;Unabhängige Stammesherrscher bekommen von ihren Vasallen keine Lehenstribute;;Los Gobernantes Tribales Independientes no consiguen levas feudales de sus vasallos.;;;;;;;;;x
TRIBAL_VASSAL;Tribal Vassal;Vassal tribal;Stammes-Vasall;;Vasallo tribal;;;;;;;;;x
CHRONICLE_MARRIED_FATHER_IMPORTANT;[From.GetTitledName] married [New.GetTitledFirstName], [New.GetSonDaughter] of [New.Father.GetTitledName].;[From.GetTitledName] a épousé [New.GetTitledFirstName], [New.GetSonDaughter] de [New.Father.GetTitledName].;[From.GetTitledName] hat [New.GetTitledFirstName], [New.GetSonDaughter] von [New.Father.GetTitledName], geheiratet.;;[From.GetTitledName] ha contraído matrimonio con [New.GetTitledFirstName], [New.GetSonDaughter] de [New.Father.GetTitledName].;;;;;;;;x
CHRONICLE_MARRIED_MOTHER_IMPORTANT;[From.GetTitledName] married [New.GetTitledFirstName], [New.GetSonDaughter] of [New.Mother.GetTitledName].;[From.GetTitledName] a épousé [New.GetTitledFirstName], [New.GetSonDaughter] de [New.Mother.GetTitledName].;[From.GetTitledName] hat [New.GetTitledFirstName], [New.GetSonDaughter] von [New.Mother.GetTitledName], geheiratet.;;[From.GetTitledName] ha contraído matrimonio con [New.GetTitledFirstName], [New.GetSonDaughter] de [New.Mother.GetTitledName].;;;;;;;;x
CHRONICLE_MARRIED_NO_PARENT;[From.GetTitledName] married [New.GetTitledFirstName].;[From.GetTitledName] a épousé [New.GetTitledFirstName].;[From.GetTitledName] hat [New.GetTitledFirstName] geheiratet.;;[From.GetTitledName] ha contraído matrimonio con [New.GetTitledFirstName].;;;;;;;;x
TRIBAL_VASSAL_CALL_TO_ARMS_BUTTON;Call §Y$VASSAL$§! to Arms ( $ANSWER_LIKELYNESS$ ) ( §Y$MEN$§! men );Appeler §Y$VASSAL$§! aux armes ( $ANSWER_LIKELYNESS$ ) ( §Y$MEN$§! hommes );Ruft §Y$VASSAL$§! zu den Waffen ( $ANSWER_LIKELYNESS$ ) ( §Y$MEN$§! Männer );;Llama a §Y$VASSAL$§! a las Armas ( $ANSWER_LIKELYNESS$ ) ( §Y$MEN$§! hombres );;;;;;;;;x
TRIBAL_VASSAL_CALL_TO_ARMS_ANSWER_POS;§GWill likely Accept§!;§GAcceptera sûrement§!;§GWird wahrscheinlich annehmen§!;;¡§GProbablemente Aceptará§!;;;;;;;;;x
TRIBAL_VASSAL_CALL_TO_ARMS_ANSWER_NEU;§YMight Accept§!;§YAcceptera peut-être§!;§YKönnte annehmen§!;;¡§YPuede Aceptar§!;;;;;;;;;x
TRIBAL_VASSAL_CALL_TO_ARMS_ANSWER_NEG;§RWill likely Decline§!;§RRefusera probablement§!;§RWird wohl ablehnen§!;;¡§RProbablemente declinará la solicitud§!;;;;;;;;;x
TRIBAL_VASSAL_CANT_CALL_TO_ARMS_BUTTON;Can't Call §Y$VASSAL$§! to Arms;Impossible d'appeler §Y$VASSAL$§! aux armes;Kann §Y$VASSAL$§! nicht zu den  Waffen rufen;;No se puede Llamar a §Y$VASSAL$§! a las Armas;;;;;;;;;x
TRIBAL_VASSAL_CANT_CALL_NOT_AT_WAR;You are not at war;Vous n'êtes pas en guerre;Ihr seid nicht im Krieg;;No estás en guerra;;;;;;;;;x
STAT_VASSAL_LIMIT;Vassal Limit;Nombre maximal de vassaux;Vasallenlimit;;Límite de Vasallos;;;;;;;;;x
#STAT_VASSAL_LIMIT_DESC;Your vassal limit indicate how many direct vassals you can have at count tier or higher. Having too many direct vassals will negatively affect the amount of taxes and levies you get from your vassals, and you might lose the grip of your vassals upon death.;Le nombre maximal de vassaux indique le nombre maximal de vassaux directs que vous pouvez détenir à un niveau donné ou supérieur. Avoir trop de vassaux directs peut affecter le montant de taxes et de levées que vous obtenez de vos vassaux et vous pouvez perdre le contrôle que vous avez sur eux à leur mort.;Euer Vasallenlimit zeigt an, wie viele Vasallen Ihr auf der Grafen- oder einer höheren Ebene haben könnt. Zu viele direkte Vasallen wirken sich negativ auf die Höhe der Steuern und Abgaben ab, die Ihr von Euren Vasallen erhaltet und Ihr könntet beim Tod den Griff auf Eure Vasallen verlieren.;;Tu límite de vasallos indica la cantidad de vasallos directos que puedes tener. Tener demasiados vasallos afectará negativamente la cantidad de impuestos y levas que recibes de ellos y puedes perder el control de tus vasallos en caso de muerte.;;;;;;;;;x
VASSAL_LIMIT_FORMULA;Vassal Limit Formula;Calcul du nombre maximal de vassaux;Formel für Vasallenlimit;;Fórmula del Límite de Vasallos;;;;;;;;;x
VASSAL_LIMIT;Vassal Limit;Nombre maximal de vassaux;Vasallenlimit;;Límite de Vasallos;;;;;;;;;x
alert_over_vassal_limit_instant;§YOver Vassal Limit§!;§YNombre de vassaux au-delà de la limite§!;§YVasallenlimit überschritten§!;;¡§YLímite de Vasallos Superado§!;;;;;;;;;x
alert_over_vassal_limit_delayed;You have §R$NUM$§!/§Y$MAX$§! vassals, giving you less taxes and levies from your vassals. You risk losing vassals if your character dies.;Vous avez §R$NUM$§!/§Y$MAX$§! vassaux, percevant ainsi moins de taxes et de levées. Vous risquez de perdre des vassaux si votre personnage meurt.;Ihr habt §R$NUM$§!/§Y$MAX$§! Vasallen, sodass Ihr von Euren Vasallen weniger Steuern und Abgaben erhaltet. Ihr riskiert den Verlust von Vasallen, wenn Eure Figur stirbt. ;;Tienes §R$NUM$§!/§Y$MAX$§! de vasallos, obteniendo así un menor número de levas e impuestos. Te arriesgas a perder vasallos si tu personaje muere.;;;;;;;;;x
alert_over_vassal_limit_name;Over Vassal Limit;Nombre de vassaux au-delà de la limite;Über dem Vasallenlimit;;Límite de Vasallos Superado;;;;;;;;x
EXPORT;Export Chronicle;Exporter la chronique;Chronik exportieren;;Exportar Crónica;;;;;;;;x
EXPORT_DEL;Export Chronicle to a .txt file;Exporter la chronique au format .txt;Chronik in eine txt-Datei exportieren;;Exportar Crónica a archivo .txt;;;;;;;;x
CONFIRMEXPORTTITLE;Export Chronicle to a .txt file;Exporter la chronique au format .txt;Chronik in eine txt-Datei exportieren;;Exportar Crónica a archivo .txt;;;;;;;;;x
CONFIRMEXPORTTEXT;The chronicle will be exported with the name $NAME$. This might take a couple of minutes.;La chronique exportée sera nommée $NAME$. Ceci peut prendre quelques minutes.;Die Chronik wird mit dem Namen $NAME$ exportiert. Dies kann einige Minuten dauern.;;La crónica se exportará con el nombre $NAME$. Esto puede tardar un par de minutos. ;;;;;;;;;x
CONFIRMEXPORTTEXT_WARNING;The chronicle will be exported with the name $NAME$.\n\n THIS NAME IS ALREADY IN USE!\nAre you sure you want to continue?;La chronique exportée sera nommée $NAME$.\n\nCE NOM EST DÉJÀ UTILISÉ !\nVoulez-vous continuer ?;Die Chronik wird mit dem Namen $NAME$ exportiert.\n\n DIESER NAME IST BEREITS VERGEBEN:\nSeid Ihr sicher, dass Ihr weitermachen wollt?;;La crónica se exportará con el nombre $NAME$.\n\n ¡ESTE NOMBRE YA ESTÁ EN USO!\n¿Seguro que quieres continuar?;;;;;;;;;x
CONFIRMCONVERTTITLE;Export CK2 Game to EU4;Exporter la partie CK2 à EU4;CK2-Spiel zu EU4 exportieren;;Exportar partida a EU4;;;;;;;;;x
CONFIRMCONVERTTEXT;The game will be exported with the name $NAME$. This might take a couple of minutes.;La partie exportée sera nommée $NAME$. Ceci peut prendre quelques minutes.;Das Spiel wird mit dem Namen $NAME$ exportiert. Dies kann einige Minuten dauern.;;La partida se exportará con el nombre $NAME$. Esta operación puede tardar un par de minutos.;;;;;;;;;x
CONFIRMCONVERTTEXT_WARNING;The game will be exported with the name $NAME$.\n\n THIS NAME IS ALREADY IN USE!\nAre you sure you want to continue?;La partie exportée sera nommée $NAME$.\n\nCE NOM EST DÉJÀ UTILISÉ !\nVoulez-vous continuer ?;Das Spiel wird mit dem Namen $NAME$ exportiert.\n\n DIESER NAME IST BEREITS VERGEBEN:\nSeid Ihr sicher, dass Ihr weitermachen wollt?;;La partida se exportará con el nombre $NAME$.\n\n ¡ESTE NOMBRE YA ESTÁ EN USO!\n¿Seguro que quieres continuar?;;;;;;;;;x
OPEN_CHRONICLE;Open Chronicle;Ouvrir la chronique;Offene Chronik;;Abrir Crónica;;;;;;;;x
GIVE_WRONG_TYPE_TITLE_TOOLTIP;Hand out titles that are of wrong type for you;Distribuer des titres qui ne sont pas du bon type pour vous;Verteilt Titel, die für Euch von der falschen Art sind;;Repartir los títulos que son inapropiados para ti;;;;;;;;x
GIVE_BARONIES_TITLE_TOOLTIP;Hand out baronies to local nobles;Distribuer des baronnies à des nobles locaux;Verteilt Baronien an örtliche Adlige;;Repartir baronías entre los nobles locales;;;;;;;;x
GIVE_COUNTIES_TITLE_TOOLTIP;Hand out counties to nobles;Distribuer des comtés à des nobles;Verteilt Grafschaften an Adlige;;Repartir condados entre los nobles;;;;;;;;x
GIVE_DUCHIES_TITLE_TOOLTIP;Hand out duchies to nobles;Distribuer des duchés à des nobles;Verteilt Herzogtümer an Adlige;;Repartir ducados entre los nobles;;;;;;;;x
OVER_MAX_DEMESNE_SIZE_BY_AT_LEAST;Over max demesne size by at least ;Dépasser la taille maximale du domaine d'au moins ;Um mindestens über max. Domänengröße ;;Superado el tamaño máximo de terratenencia en al menos;;;;;;;;x
help_liege_manage_titles;Offer to help with liege titles;Offrir son aide pour gérer les titres seigneuriaux;Bietet Eure Hilfe bei Lehnstiteln an;;Ofrecer ayuda con los títulos feudales;;;;;;;;x
help_liege_manage_titles_desc;Give your assistance to your lord to manage his recently acquired titles and hand them out to new holders in his realm.;Offrir à votre seigneur de l'aider dans la gestion de ses nouveaux titres et les donner à de nouveaux titulaires de son royaume.;Unterstützt Euren Lehnsherrn bei der Verwaltung seiner neu erworbenen Titel und verteilt sie an neue Halter in seinem Reich.;;Dar tu asistencia a tu señor feudal para gestionar sus títulos recientemente adquiridos y distribuirlos entre los nuevos dueños de este reino.;;;;;;;;x
NOT_PROPOSED_TITLE_HELP_RECENTLY_TOOLTIP;Liege has not been recently proposed to be helped.\n;Le seigneur n'a pas réclamé d'aide récemment.\n;Dem Lehnsherrn wurde in letzter Zeit keine Hilfe angeboten.\n;;Recientemente no se le ha ofrecido ayuda, al señor feudal.\n;;;;;;;;x
NOT_REFUSED_ANY_HELP_WITH_TITLES_TOOLTIP;Liege has not refused any notion of help.\n;Le seigneur refuse toute forme d'aide.\n;Lehnsherr hat keinerlei Hilfe abgelehnt.\n;;El señor feudal no ha rechazado ningún tipo de ayuda.\n;;;;;;;;x
NOT_GETTING_HELP_WITH_TITLES_TOOLTIP;Liege is not already being helped with his titles.;Le seigneur a déjà obtenu de l'aide pour ses titres.\n;Dem Lehnsherrn wird mit seinen Titeln zur Zeit noch nicht geholfen.;;El señor feudal aún no ha sido ayudado con sus títulos.;;;;;;;;x
#EVTDESC_108000;"Chancellor wants to ""help"" you with your abundance of titles...";Le chancelier désire vous 'aider' avec tous ces titres...;Der Kanzler möchte Euch mit Eurem Überfluss an Titeln 'helfen'...;;El Canciller quiere “ayudarte” con tu abundancia de títulos...;;;;;;;;x
EVTOPTA_108000;Yes I would appreciate some help!;Oui, de l'aide serait appréciée !;Ja, ich würde etwas Unterstützung sehr schätzen!;;¡Sí, agradecería un poco de ayuda!;;;;;;;;x
EVTOPTB_108000;No thanks I'm fine!;Non merci, ça va !;Nein danke, mir geht es gut!;;¡No gracias, estoy bien!;;;;;;;;x
EVTOPTC_108000;Stop bothering me about this nonsense!;Arrêtez de m'ennuyer avec des sottises !;Hört auf, mich mit diesem Unsinn zu belästigen!;;¡Deja de molestarme con esta nimiedad!;;;;;;;;x
EVTOPTC_108000_TOOLTIP;None of your council members will bother you about this matter in the near future.;Aucun membre de votre conseil ne vous embêtera avec cela dorénavant.;Keines Eurer Ratsmitglieder wird Euch wegen dieser Sache in nächster Zeit belästigen.;;En un futuro cercano ningún miembro de tu cacareante consejo te molestará con este asunto.;;;;;;;;x
#EVTDESC_108001;"Steward wants to ""help"" you with your abundance of titles...";L'intendant désire vous 'aider' avec tous ces titres...;Der Verwalter möchte Euch mit Eurem Überfluss an Titeln 'helfen'...;;El Administrador quiere “ayudarte” con tu abundancia de títulos...;;;;;;;;x
#EVTDESC_108002;"Loremaster wants to ""help"" you with your abundance of titles...";Le chef spirituel désire vous 'aider' avec tous ces titres...;Der geistliche Führer möchte Euch mit Eurem Überfluss an Titeln 'helfen'...;;El Líder Espiritual quiere “ayudarte” con tu abundancia de títulos...;;;;;;;;x

CHRONICLE_OF_HOUSE;The Chronicle of House [GetOnlyDynastyName];Les Chroniques de la maison [GetOnlyDynastyName];Die Chronik des Hauses [GetOnlyDynastyName];;La Crónica de la Casa de [GetOnlyDynastyName];;;;;;;;;x
CHRONICLE_START;This is the Chronicle of House [Root.GetOnlyDynastyName], in which is contained the record of its yearly fortunes, glories and difficulties.;Voici les chroniques de la maison [Root.GetOnlyDynastyName], qui relatent la gloire, la fortune et les mésaventures des années passées.;Dies ist die Chronik des Hauses [Root.GetOnlyDynastyName], in der die Glücksfälle, der Ruhm und die Schwierigkeiten jeden Jahres verzeichnet sind.;;Esta es la Crónica de la Casa de [GetOnlyDynastyName], la cual contiene el registro de sus fortunas anuales, sus glorias y sus dificultades.;;;;;;;;;x
#CHRONICLE_FILL0001;A dragon was seen in the province of [Root.GetName].;Un dragon a été vu dans la province de [Root.GetName].;Ein Drache wurde in der Provinz [Root.GetName] gesichtet.;;Se ha avistado un dragón en la provincia de [Root.GetName].;;;;;;;;x
#CHRONICLE_FILL0002;A giant destroyed several villages in [Root.GetName], but then disappeared without trace.;Un géant a détruit plusieurs villages de [Root.GetName], puis on a perdu sa trace.;Eine Riese zerstörte in [Root.GetName] mehrere Dörfer und verschwand dann spurlos.;;Un gigante destruyó varios pueblos en [Root.GetName], pero luego desapareció sin dejar rastro. ;;;;;;;;x
#CHRONICLE_FILL0003;Strange and terrible serpents were seen in [Root.GetName].;D'étranges serpents fabuleux ont été vus en [Root.GetName].;Seltsame wunderbare Schlagen wurden in [Root.GetName] gesichtet.;;Extrañas y maravillosas serpientes se han visto en [Root.GetName].;;;;;;;;x
#CHRONICLE_FILL0004;Several people in [Root.Capital.GetName] spoke of seeing strange shapes dancing on the moon.;Plusieurs personnes de [Root.Capital.GetName] ont dit avoir vu d'étranges formes danser dans le ciel.;Mehrere Leute in [Root.Capital.GetName] berichteten von seltsamen Gestalten, die auf dem Mond tanzen.;;Algunas personas en [Root.Capital.GetName] decían haber visto extrañas formas bailando en la luna.;;;;;;;;x
#CHRONICLE_FILL0005;A half-orc was killed by a mob in the land of [Root.GetName].;Une femme haute de trois mètres a été crucifiée dans la province de [Root.GetName].;Eine drei Meter große Frau wurde in der Provinz [Root.GetName] gekreuzigt.;;Una mujer de diez pies de alto fue crucificada en la provincia de [Root.GetName].;;;;;;;;x
#CHRONICLE_FILL0006;Villagers saw blood raining from the sky in the province of [Root.GetName].;Des villageois ont été témoins d'une pluie de sang dans la province de [Root.GetName].;Dorfbewohner berichteten, es habe in der Provinz [Root.GetName] Blut vom Himmel geregnet.;;Los aldeanos vieron llover sangre del cielo en la provincia de [Root.GetName].;;;;;;;;x
#CHRONICLE_FILL0007;A strange plague killed thousands of wild rabbits in the province of [Root.GetName].;Une étrange pandémie a tué des milliers de lapins dans la province de [Root.GetName].;Eine seltsame Seuche raffte in der Provinz [Root.GetName] Tausende von Wildhasen dahin.;;Una extraña plaga ha matado a miles de conejos salvajes en la provincia de [Root.GetName].;;;;;;;;x
