#CODE;ENGLISH;FRENCH;GERMAN;SPANISH;ITALIAN;x
#RELIGION GROUPS;x;x;x;x;x;x
CHURCH_NAME;$RELIGION$ ($GROUP$);$RELIGION$ ($GROUP$);;;$RELIGION$ ($GROUP$);;x
religion_mahal_DESC;The Dwarves, or Khazâd in their own tongue, were beings of short stature, often friendly with Men and Elves until the later years of the First Age. They were typically blacksmiths and stoneworkers by profession, unrivaled in some of their arts even by the Elves. \n\nWhile there were several tribes of the Dwarves, the most prominent was that of the §YLongbeards§!. The others were the §YFirebeards§!, §YBroadbeams§!, §YIronfists§!, §YStiffbeards§!, §YBlacklocks§!, §YStonefoots§!, and the Petty-dwarves. Unlike Elves and Men, the Dwarves are not counted among the Children of Ilúvatar. Their creator was Mahal, known as Aulë the Smith.;;;;;;x
#Mori Elves
religion_moriquendi_DESC;The Elves, or Eldar, were the first of the races of the Children of Ilúvatar, known also as the Firstborn for that reason. The Elves are distinguished from the other two main races, Men and Dwarves, especially by the fact of their near immortality. \n\nThe Moriquendi, also known as the Elves of Darkness, is the name given to all Elves that did not join the Great Journey over the sea and behold the light of the Two Trees of Valinor. Instead, they lingered on the shores of Middle-earth or never passed the Blue Mountains and remained in the East. Most Elves fall into this category, the others being the Calequendi, or Elves of the Light.;Le groupe culturel de ce personnage.;;;;;;x
#Cala Elves
religion_calaquendi_DESC;The Elves, or Eldar, were the first of the races of the Children of Ilúvatar, known also as the Firstborn for that reason. The Elves are distinguished from the other two main races, Men and Dwarves, especially by the fact of their near immortality. \n\nThe Calaquendi, also known as the Elves of the Light, is the name given to all Elves who have seen the light of the Two Trees of Valinor. The term Calaquendi usually applies only to those Elves who actually lived in Eldamar. The Moriquendi were regarded as greatly inferior by the Calaquendi, who lived in the Light of the Two Trees, and had also received great knowledge and powers by living with the Valar and Maiar.;Le groupe culturel de ce personnage.;;;;;;x
#Hobbits
religion_perian_DESC;Hobbits, Halflings or Perians are a small race that typically dwell underground. They are generally farmers and traders, happy with a simple life of plenty. The Shire is famous for its inns, pipe-weed and mushrooms. \n\n Hobbits are generally shy of other races, except in the town of Bree where they mix happily with the Big-folk. Their main contact is with Dwarves who cross the Shire while travelling to and from the Blue Mountains. They originated in the Anduin Vale on the East side of the Misty Mountains in the Third Age, before migrating West to what became the Shire, where the three strains of Hobbit, §YFallohides§!, §YHarfoots§!, and §YStoors§! mixed.;;;;;;x
#Stoors
religion_stoor_DESC;The cultural traditions and beliefs of this character.;Le groupe culturel de ce personnage.;;;;;;x
#Druedain
religion_druedain_DESC;The Drúedain, also known as Drûgs, Drughu, Rógin, Woses, Wild Men of the Woods and Púkel-men, were a strange race of Men that lived in the Drúadan Forest by the Third Age. They were counted amongst the Edain.;Le groupe culturel de ce personnage.;;;;;;x
#Edain
religion_edain_DESC;While "Edain" is the sindarin word for the entire race of Men, it became the de facto name for the fair-skinned, fair-haired tribes of men who first met the Eldar and remained their most faithful allies.;Le groupe culturel de ce personnage.;;;;;;x
#Dunedain
religion_dunedain_DESC;The Dúnedain were Men descended from the Númenóreans who survived the fall of their island kingdom of Númenor and came to Eriador in Middle-earth, led at first by Elendil and his sons. They are also called the Men of the West and the Men of Westernesse. They settled mainly in Arnor and Gondor.;Le groupe culturel de ce personnage.;;;;;;x
#Numenorean
religion_numenorean_DESC;Númenóreans were the Men of Númenor, descendants of the Edain of the First Age, who were granted the island of Elenna as a dwelling place. They turned against the Valar, and their island home was destroyed in the last years of the Second Age.;Le groupe culturel de ce personnage.;;;;;;x
#Black Numenorean
religion_black_numenorean_DESC;The Black Númenóreans are High Men from Númenor. They were under the Shadow like the King's Men, cruel oppressors and overlords over the more primitive Middle Men of Middle-earth. As they were colonizing the continent, they survived the Downfall of Númenor.;Le groupe culturel de ce personnage.;;;;;;x
#Rhovanion
religion_rhovanion_DESC;The Northmen, also known as the Free Men of the North, were Men that lived in the north of Rhovanion in Middle-earth, and were friendly to Gondor. The Rohirrim, or Horse Lords, are also descended from these Northmen, beginning as the Éothéod led by Eorl the Young. Under his leadership they migrated south from the Anduin Vale to Calenardhon, where he founded the Kingdom of Rohan, also known as the Riddermark.;Le groupe culturel de ce personnage.;;;;;;x
#Easterlings
religion_easterlings_DESC;The "Swarthy Men" known in the first age as Easterlings were among those peoples who fell under the influence of Melkor in the dawn years of Mankind, due to proximity rather than inclination.  Their common names come from their relatively dark complexion and the direction from which they encroached upon the homelands of the Edain.;Le groupe culturel de ce personnage.;;;;;;x
#Nurning
religion_nurning_DESC;The people who inhabited Nurn were Men and prisoners of war. These people were enslaved by Sauron, working the soil around the sea of Nurn to feed Sauron's armies.;Le groupe culturel de ce personnage.;;;;;;x
#Haldadian
religion_haldadian_DESC;The cultural traditions and beliefs of this character.;Le groupe culturel de ce personnage.;;;;;;x
#Southron
religion_southron_DESC;The Haradrim or Southrons are the proud and warlike people of the Harad, in the south of Middle-earth. Ancient enemies of Gondor, they are allied with Sauron during the War of the Ring.;Le groupe culturel de ce personnage.;;;;;;x
#Ishmalogim
religion_ishmalogim_DESC;The cultural traditions and beliefs of this character.;Le groupe culturel de ce personnage.;;;;;;x
#Lossoth
religion_lossoth_DESC;The Forodwaith were an enigmatic, semi-nomadic race of men who became denizens of the northern reaches of Middle-Earth soon after their awakening.  While they play little part in the great tales of the first age, their kind survived the ravages of the War of Wrath and endured into the Third Age as the Lossoth of Forochel#
#Angmarim
religion_angmarim_DESC;The Men of Carn Dûm were the dark men of Angmar who served the Witch-king of Angmar long ago. They are called "Men of Carn Dûm," because they hail from and rule Angmar through its dark capital of Carn Dûm itself.;Le groupe culturel de ce personnage.;;;;;;x
#Melkor Cult
religion_melkor_DESC;The cultural traditions and beliefs of this character.;Le groupe culturel de ce personnage.;;;;;;x
#Sauron Cult
religion_sauron_cult_DESC;The cultural traditions and beliefs of this character.;Le groupe culturel de ce personnage.;;;;;;x
#Orkish
religion_orkish_DESC;Orcs were created by Morgoth before the First Age in mockery of the Elves, but their exact origins are unknown. Their hierachy is generally tribal, with position dependent mainly on strength. \n\nThey are generally divided into two groups, §YOrcs§! and §YBoldogs§! Orcs are generally shorter and weaker than Men or Elves but can vary widely in appearance and height.\n\nMerely copies of the true creation of Ilúvatar, Orcs are no match for the more disciplined Eldar and Edain forces in the First Age.  Boldogs, on the other hand, are mighty incarnations of Umaiar in the forms of mighty Orchoth warriors.  A match for any elf, these creatures possess the intelligence and strength of the Ainur as well as the brutal savagery of Orc-kind.;Le groupe culturel de ce personnage.;;;;;;x
#Uruk
religion_uruk_DESC;The Uruk-hai were a new breed of Orcs that appeared during the Third Age. They were faster than normal Orcs and could travel during the day without being weakened. They were not only faster but smarter, stronger and larger, though they were still shorter than Men.;Le groupe culturel de ce personnage.;;;;;;x
#Troll
religion_olog_DESC;Trolls, also named Torog or Olog, are large monsters of limited intellect, made up for in strength and viciousness, who cannot endure sunlight. They were created by Morgoth before the First Age in mockery of the Ents, but their exact origins are unknown. \n\n Trolls are formidable in combat, used as heavy shock troops to break through lines. Their hide is near impenetrable, especally when armoured, and they are usually equipped with a large mace.;Les Trolls, aussi appelés Torog ou Olog, sont de grands monstres à l'intellect limité. Ils sont fort, vicieux, et ne peuvent endurer la lumière du Soleil. Ils furent créés par Morgoth avant le Premier Âge, et leur origine exacte reste inconnue.;;;;;;x
#Wilderness
religion_wilderness_DESC;The wilderness is uninhabited land which can be colonised by certain races. Wilderness provinces have no levies or income.;Le groupe culturel de ce personnage.;;;;;;x
#Wights
religion_wight_DESC;Wights, also known with the Sindarin name of Gordain, are powerful Spirits which can take possession of dead bodies and often have great knowledge in Dark Sorcery.;;;;"Gli Spettri, spesso indicati col nome Sindarin ""Gordain"" sono potenti spiriti oscuri capaci di prendere possesso di cadaveri e scheletri controllando ciò che ne resta. Solitamente sono esseri guidati da potenti conoscitori della Stregoneria.";;x
#GODS#
GOD_THE_MAIAR;The Maiar;Les Maiar;;;Maiar;;x
GOD_THE_VALAR;The Valar;Les Valar;;;Valar;;x
GOD_ERU;Eru;Eru;;;Eru;;x
GOD_ERU_ILUVATAR;Eru Ilúvatar;Eru Ilúvatar;;;Eru Ilúvatar;;x
GOD_MAHAL;Mahal;Mahal;;;Mahal;;x
GOD_AULE;Aulë;Aulë;;;Aulë;;x
GOD_VARDA;Varda;Varda;;;Varda;;x
GOD_YAVANNA;Yavanna;Yavanna Kementári;;;Yavanna Kementári;;x
GOD_MANWE;Manwe;;;;;;;
GOD_NAMO;Namo;;;;;;;
GOD_THE_POWERS;The Powers;Les Pouvoirs;;;I Poteri;;x
GOD_THE_GREAT_MAN;The Mighty Man;;;;;;;
GOD_OS;Ôs;;;;;;;
GOD_YMPYRA;Ympyra;;;;;;;
GOD_THE_DEVAM;The Devam;;;;;;;
GOD_THE_BELAIN;The Belain;;;;;;;
GOD_THE_DARK_ONE;Dark One;;;;;;;
GOD_THE_EARTH_MOTHER;Earth Mother;;;;;;;
GOD_THE_VOICE;The Voice;;;;;;;
GOD_UNGOLIANT;Ungoliant;;;;;;;
GOD_SAURON;Sauron;;;;;;;
GOD_POWER;Power;;;;;;;
GOD_WEALTH;Wealth;Fortune;;;Ricchezza;;x
GOD_MORGOTH;Morgoth;Morgoth;;;Melkor Morgoth;;x
GOD_MAM_UGI_MAM;Mâm-ugi-Mâm;;;;;;;
GOD_BALUK;Balûk;;;;;;;
GOD_MORI_KAM;Mori-Kam;;;;;;;
GOD_ARU_BAITO;Arû-Baito;;;;;;;
PROPHET_SAURON;Sauron;Sauron;;;Sauron;;x
GOD_TREE;Trees;Arbres;;;Alberi;;x
## INTERFACE;x;x;x;x;x;x
REL_HOLY_SITES;Symbolic Places;Lieux Symboliques;;;Luoghi Simbolici;;x
VS_REL_ENEMY;Damage Against Other Races;Massacre ses ennemis religieux;Schaden gegen religiöse Feinde;;Daño producido a un enemigo religioso;;#
DEMAND_RELIGIOUS_CONVERSION_INTERACTION_0;§Y[Recipient.GetFirstName] will be released from prison if [Recipient.GetSubjectPronoun] accepts.§!;§Y[Recipient.GetFirstName] sera libéré(e) de prison si [Recipient.GetSubjectPronoun] accepte.§!;§Y[Recipient.GetFirstName] wird aus dem Gefängnis entlassen, wenn [Recipient.GetSubjectPronoun] akzeptiert.§!;;§Y[Recipient.GetFirstName] será liberado si lo acepta.§!;;#
TITLE_CANNOT_USURP_REL_HEADS;Cannot usurp racial High King titles;Ne peut usurper les titres chefs religieux;Kann nicht an sich zu reißen religiöses Oberhaupt Titel;;No se puede usurpar los principales títulos religiosos;;#
THREAT_LIEGE_RELIGION;Same Race;Même religion;Die gleiche Religion;;Misma Religión;;#
HAS_NOT_CALLED_CRUSADE;There is NO active $RELIGION$ $CRUSADE_NAME$;Il n'y a pas de $CRUSADE_NAME$ $RELIGION$ actif(ve);Es gibt KEINEN aktiven $RELIGION$ $CRUSADE_NAME$;;NO hay ninguna $CRUSADE_NAME$ $RELIGION$ activa;;#
HAS_CALLED_CRUSADE;There is an active $RELIGION$ $CRUSADE_NAME$;Il y a un(e) $CRUSADE_NAME$ $RELIGION$ actif(ve);Es gibt einen aktiven $RELIGION$ $CRUSADE_NAME$;;Hay una $CRUSADE_NAME$ $RELIGION$ activa;;#
TEMPLE_HOLDING_PIETY;§Y$NUM$§! Temples in Demesne: §G+$VALUE$§!;§Y$NUM$§! temples dans le domaine : §G+$VALUE$§!;§Y$NUM$§! Tempel in der Domäne: §G+$VALUE$§!;;Templos en la heredad: §G+$VALUE$§!;;#
MORAL_AUTHORITY_DESC;The hegemony of a race affects the colonization chances of provinces. A low hegemony value can prevent lords from performing special actions like banishment. It may also cause instability with various negative events in your realm as the racial authority loses its grip on the populace.;L'autorité morale d'une religion affecte les chances de conversion des personnages et des provinces, ainsi que la susceptibilité aux hérésies. Une autorité faible peut empêcher le chef de la religion d'effectuer des actions spéciales comme les excommunica;Die moralische Autorität einer Religion beeinflusst die Konvertierungschancen von Charakteren und Provinzen und die Anfälligkeit für Häresie. Ein niedriger Autoritätswert kann bewirken, dass der Oberpriester besondere Handlungen, wie zum Beispiel Exkommun;;La autoridad moral de una religión afecta a las posibilidades de conversión de personajes y provincias y la susceptibilidad a las herejías. Un valor bajo de autoridad puede evitar que el jefe pontífice realice acciones especiales como la excomunión. También puede causar inestabilidad con varios acontecimientos negativos en tu reino como que las instituciones religiosas pierdan el control de la población.;;#
MODIFIER_CHURCH_OPINION;Temple Vassal Opinion;Opinion des vassaux du temple;Meinung der Tempelvassallen;;Opinión de vasallo del Templo;;#

# MnM strings
GetHouseOfWorship_religion_group_eruhini;shrine;à l'église;Kirche;;iglesia;;;;;x
GetHouseOfWorship_religion_group_khazad;shrine;à l'église;Kirche;;iglesia;;;;;x
GetHouseOfWorship_religion_group_forodwaith;shrine;à l'église;Kirche;;iglesia;;;;;x
GetHouseOfWorship_religion_group_edain;shrine;à l'église;Kirche;;iglesia;;;;;x
GetHouseOfWorship_religion_group_hildor;shrine;à l'église;Kirche;;iglesia;;;;;x
GetHouseOfWorship_religion_group_melkor;temple;à l'église;Kirche;;iglesia;;;;;x
GetHouseOfWorship_religion_group_wilderness;shrine;à l'église;Kirche;;iglesia;;;;;x
GetHouseOfWorship_religion_group_eldar;shrine;à l'église;Kirche;;iglesia;;;;;x

secret_religious_society_religion_eruhini;the Servants of Manwë;Ainur;;;;;;x
secret_religious_society_religion_eruhini_desc;Spirits reside in all corners of Middle-Earth. Only they have the truest vision and wisdom necessary to guide the world against Morgoth Bauglir.;Ainur;;;;;;x
secret_religious_society_religion_umaiar;Melkor's Companions;Ilainur;;;;;;x
secret_religious_society_religion_umaiar_desc;The spirits of Middle-Earth with the greatest power and knowledge swore themselves to Melkor long ago. Only they can serve the true purpose and rule the lands of Dor-Daedeloth.;Ilainur;;;;;;x
secret_religious_society_religion_mahal;the Hidden Vabundhur;Nains;;;Nani;;x
secret_religious_society_religion_mahal_desc;The Dwarves reside in many hills and mountains of the world, not the least rich and grand of which lie in Beleriand. When wayward dwarves find themselves subjugated by soft folk, they often band together in secret to protect their interests.;Nains;;;Nani;;x
secret_religious_society_religion_moriquendi;the Host of Elwë;Dark Elven;;;;;;x
secret_religious_society_religion_moriquendi_desc;With the coming of many strange and dangerous new races and peoples to Beleriand, the native denizens of the land find themselves subjects more often than not. To protect their very homes and identities, the old ways must be preserved in secret, and the balance of power must once more tip towards the children of Thingol in all corners of Beleriand.;Dark Elven;;;;;;x
secret_religious_society_religion_calaquendi;Finwë's Faithful;High Elven;;;;;;x
secret_religious_society_religion_calaquendi_desc;The quest for vengeance does not stop when an uninterested party becomes lord of the land. The elves of Aman who live in involuntary service to other, less enlightened people often find themselves conspiring as a matter of course to protect themselves and further their own great race's noble cause in Beleriand.;High Elven;;;;;;x
secret_religious_society_religion_druedain;the Forest-kin;Drúedain;;;;;;x
secret_religious_society_religion_druedain_desc;The Drúedain find themselves outnumbered even in the wilds of Beleriand. Their new home is a dangerous place filled with cruel overlords; they must band together or be driven into extinction.;Drúedain;;;;;;x
secret_religious_society_religion_edain;the Secondborn Brotherhood;Edain;;;;;;x
secret_religious_society_religion_edain_desc;The hosts of the Edain fled from danger to a new land already peopled by mighty lords and belligerent hosts. As they often find themselves following their lords into the service of other races, those not so willing to bend the knee to strangers meet in secret to emancipate themselves from the whims of those who might exploit them.;Edain;;;;;;x
secret_religious_society_religion_easterlings;the Men of Palisor;Easterling;;;Esterling;;;;;;x
secret_religious_society_religion_easterlings_desc;The swarthy men of the east may serve other lords, but will not suffer degradation or enslavement. Those who feel that their esteemed lords are not worthy of allegiance meet in secret to plan emancipation from the alien races of Beleriand, to roam free once more across the plains of the west.;Easterling;;;Esterling;;;;;;x
secret_religious_society_religion_lossoth;the World-Walkers;Lossoth;;;Lossoth;;;;;;x
secret_religious_society_religion_lossoth_desc;the World-Walkers;The eldest of the Mannish races meet when they can to preserve cultural and religious identiy in a world filled with great hosts and cruel overlords. They have walked the world long enough, and deserve freedom once more.;;;Lossoth;;;;;;x
secret_religious_society_religion_orkish;the True Servants;Orques;;;;;;x
secret_religious_society_religion_orkish_desc;While elves, dwarves, and other creatures may be useful to Morgoth, the King's eldest children will always be the greatest asset of Angband. When the bannermen of Morgoth's courtiers feel oppressed, they conspire to put one of their own race in the courtier's place at the Nethermost Hall.;Orques;;;;;;x
secret_religious_society_religion_dragons;the Wyrm-kin;Drakes;;;Drakes;;;
secret_religious_society_religion_dragons_desc;Dragons are proud creatures, unwilling to serve lesser races, even in servant of their Father. Where two dragons march in an army of orcs, they will conspire to usurp command.;Drakes;;;Drakes;;;
secret_religious_society_religion_anach;Faithful of Ungoliant;;;;;;;
secret_religious_society_religion_anach_desc;The men of Anach have long been outcasts, worshippers of a spider-god despised by all other creatures. Ungoliant's supremacy and that of her fell children are clear to the Anachrim, who will worship them and conspire together for their benefit as long as they can.;;;;;;;

secret_religious_society_religion_eruhini_leader_desc;The Chief of $SOCIETY|Y$, leading the international effort of bringing more people into the fold.;The Commander Priest of $SOCIETY|Y$, leading the international effort of bringing more people into the fold.;Ainur;;;;;;x
secret_religious_society_religion_umaiar_leader_desc;The Chief of $SOCIETY|Y$, leading the international effort of bringing more people into the fold.;The spirits of Middle-Earth with the greatest power and knowledge swore themselves to Melkor long ago. Only they can serve the true purpose and rule the lands of Dor-Daedeloth.;Ilainur;;;;;;x
secret_religious_society_religion_mahal_leader_desc;The Warden of $SOCIETY|Y$, leading the international effort of bringing more people into the fold.;The Dwarves reside in many hills and mountains of the world, not the least rich and grand of which lie in Beleriand. When wayward dwarves find themselves subjugated by soft folk, they often band together in secret to protect their interests.;Nains;;;Nani;;x
secret_religious_society_religion_moriquendi_leader_desc;The Captain of $SOCIETY|Y$, leading the international effort of bringing more people into the fold.;With the coming of many strange and dangerous new races and peoples to Beleriand, the native denizens of the land find themselves subjects more often than not. To protect their very homes and identities, the old ways must be preserved in secret, and the balance of power must once more tip towards the children of Thingol in all corners of Beleriand.;Dark Elven;;;;;;x
secret_religious_society_religion_calaquendi_leader_desc;The Commander of $SOCIETY|Y$, leading the international effort of bringing more people into the fold.;The quest for vengeance does not stop when an uninterested party becomes lord of the land. The elves of Aman who live in involuntary service to other, less enlightened people often find themselves conspiring as a matter of course to protect themselves and further their own great race's noble cause in Beleriand.;High Elven;;;;;;x
secret_religious_society_religion_druedain_leader_desc;The High Priest of $SOCIETY|Y$, leading the international effort of bringing more people into the fold.;The Drúedain find themselves outnumbered even in the wilds of Beleriand. Their new home is a dangerous place filled with cruel overlords; they must band together or be driven into extinction.;Drúedain;;;;;;x
secret_religious_society_religion_edain_leader_desc;The Chieftain of $SOCIETY|Y$, leading the international effort of bringing more people into the fold.;The hosts of the Edain fled from danger to a new land already peopled by mighty lords and belligerent hosts. As they often find themselves following their lords into the service of other races, those not so willing to bend the knee to strangers meet in secret to emancipate themselves from the whims of those who might exploit them.;Edain;;;;;;x
secret_religious_society_religion_easterlings_leader_desc;The Hidden Lord of $SOCIETY|Y$, leading the international effort of bringing more people into the fold.;The swarthy men of the east may serve other lords, but will not suffer degradation or enslavement. Those who feel that their esteemed lords are not worthy of allegiance meet in secret to plan emancipation from the alien races of Beleriand, to roam free once more across the plains of the west.;Easterling;;;Esterling;;;;;;x
secret_religious_society_religion_lossoth_leader_desc;The Chief of $SOCIETY|Y$, leading the international effort of bringing more people into the fold.;the World-Walkers;The eldest of the Mannish races meet when they can to preserve cultural and religious identiy in a world filled with great hosts and cruel overlords. They have walked the world long enough, and deserve freedom once more.;;;Lossoth;;;;;;x
secret_religious_society_religion_orkish_leader_desc;The Overlord of $SOCIETY|Y$, leading the international effort of bringing more people into the fold.;While elves, dwarves, and other creatures may be useful to Morgoth, the King's eldest children will always be the greatest asset of Angband. When the bannermen of Morgoth's courtiers feel oppressed, they conspire to put one of their own race in the courtier's place at the Nethermost Hall.;Orques;;;;;;x
secret_religious_society_religion_dragons_leader_desc;The Brood Lord of $SOCIETY|Y$, leading the international effort of bringing more people into the fold.;Dragons are proud creatures, unwilling to serve lesser races, even in servant of their Father. Where two dragons march in an army of orcs, they will conspire to usurp command.;Drakes;;;Drakes;;;
secret_religious_society_religion_anach_leader_desc;The High Priest of $SOCIETY|Y$, leading the international effort of bringing more people into the fold.;The men of Anach have long been outcasts, worshippers of a spider-god despised by all other creatures. Ungoliant's supremacy and that of her fell children are clear to the Anachrim, who will worship them and conspire together for their benefit as long as they can.;;;;;;;

secretly_religion_eruhini;Secretly Ainur;;;;;;;;;;;x
secretly_religion_eruhini_desc;This character follows and supports the Ainur ways in secret.;;;;;;;;;;;x 
secretly_religion_mahal;Secretly Dwarven;;;;;;;;;;;x
secretly_religion_mahal_desc;This character follows and supports the Dwarven ways in secret.;;;;;;;;;;;x
secretly_religion_moriquendi;Secretly Dark Elven;;;;;;;;;;;x
secretly_religion_moriquendi_desc;This character follows and supports the Dark Elven ways in secret.;;;;;;;;;;;x
secretly_religion_calaquendi;Secretly High Elven;;;;;;;;;;;x
secretly_religion_calaquendi_desc;This character follows and supports the High Elven ways in secret.;;;;;;;;;;;x
secretly_religion_perian;Secretly Halfling;;;;;;;;;;;x
secretly_religion_perian_desc;This character follows and supports the Halfling ways in secret.;;;;;;;;;;;x
secretly_religion_lossoth;Secretly Forodwaith;;;;;;;;;;;x
secretly_religion_lossoth_desc;This character follows and supports the Forodwaith ways in secret.;;;;;;;;;;;x

secret_religious_society_religion_eruhini_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_religion_mahal_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_religion_moriquendi_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_religion_calaquendi_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_religion_perian_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_religion_lossoth_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x

secret_religious_society_religion_eruhini_rank_1_female;Faithful;Fidèle;Getreue;;Fiel;;;;;;;;;x
secret_religious_society_religion_eruhini_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_religion_eruhini_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_religion_eruhini_rank_4_female;Herald;Messagère;Herold;;Mensajera;;;;;;;;;x
secret_religious_society_religion_eruhini_rank_1_male;Faithful;Fidèle;Getreuer;;Fiel;;;;;;;;;x
secret_religious_society_religion_eruhini_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_religion_eruhini_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_religion_eruhini_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_religion_mahal_rank_1_female;Faithful;Fidèle;Getreue;;Fiel;;;;;;;;;x
secret_religious_society_religion_mahal_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_religion_mahal_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_religion_mahal_rank_4_female;Herald;Messagère;Herold;;Mensajera;;;;;;;;;x
secret_religious_society_religion_mahal_rank_1_male;Faithful;Fidèle;Getreuer;;Fiel;;;;;;;;;x
secret_religious_society_religion_mahal_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_religion_mahal_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_religion_mahal_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_religion_moriquendi_rank_1_female;Faithful;Fidèle;Getreue;;Fiel;;;;;;;;;x
secret_religious_society_religion_moriquendi_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_religion_moriquendi_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_religion_moriquendi_rank_4_female;Herald;Messagère;Herold;;Mensajera;;;;;;;;;x
secret_religious_society_religion_moriquendi_rank_1_male;Faithful;Fidèle;Getreuer;;Fiel;;;;;;;;;x
secret_religious_society_religion_moriquendi_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_religion_moriquendi_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
