ct_zirakdum;Vault-Warden Barrack; Zirakdum;;;;;;;;;;;;;x
ct_zirakdum1;Vault-Warden Barrack; Zirakdum;;;;;;;;;;;;;x
ct_zirakdum2;Vault-Warden Barrack; Zirakdum;;;;;;;;;;;;;x
ct_zirakdum3;Vault-Warden Barrack; Zirakdum;;;;;;;;;;;;;x
ct_zirakdum_desc;In return for housing in the deep mines of Dolmed, the Vault-Warden mercenaries of the Blue Mountains provide security and pay taxes for the lords of the mountain.;Bien que moins célèbres que la Moria ou Erebor, les grandes salles des nains Barbes Drues n'en sont pas moins imposantes.;;;;;;;;;;;;x
ct_DInnerFortification_1;Inner Fortifications;Fortifications Internes;;;;;;;;;;;;;x
ct_DInnerFortification_2;Inner Fortifications;Fortifications Internes;;;;;;;;;;;;;x
ct_DInnerFortification_3;Inner Fortifications;Fortifications Internes;;;;;;;;;;;;;x
ct_DInnerFortification_4;Inner Fortifications;Fortifications Internes;;;;;;;;;;;;;x
ct_DInnerFortification_5;Inner Fortifications;Fortifications Internes;;;;;;;;;;;;;x
ct_DInnerFortification_6;Inner Fortifications;Fortifications Internes;;;;;;;;;;;;;x
ct_DInnerFortification_1_desc;Those fortifications within the structure itself have too objectives : strengthening it for additionnal expansion, and adding protection against outer invaders.;Ce renforcement interne a pour but de renforcer l'ensemble de la structure afin de l'étendre davantage, mais elle permet aussi une meilleure protection contre des envahisseurs.;;;;;;;;;;;;;x
ct_mithrilmines_1;Mithril Mines;Mines de Mithril;;;;;;;;;;;;;x
ct_mithrilmines_2;Mithril Mines;Mines de Mithril;;;;;;;;;;;;;x
ct_mithrilmines_3;Mithril Mines;Mines de Mithril;;;;;;;;;;;;;x
ct_mithrilmines_4;Mithril Mines;Mines de Mithril;;;;;;;;;;;;;x
ct_mithrilmines_5;Mithril Mines;Mines de Mithril;;;;;;;;;;;;;x
ct_mithrilmines_6;Mithril Mines;Mines de Mithril;;;;;;;;;;;;;x
ct_mithrilmines_desc;Lighter and stronger than steel, more precious than gold, mithril made Khazâd-dum the richest of all the kingdom of the dwarves.;Plus léger et résistant que l'acier, plus précieux que l'or, le mithril a fait de Khazâd-dum le plus riche de tous les royaumes des nains.;;;;;;;;;;;;;x
ct_jeweler_1;Jeweler's Shop;Joaillerie;;;;;;;;;;;;;x
ct_jeweler_2;Jeweler's Shop;Joaillerie;;;;;;;;;;;;;x
ct_jeweler_3;Jeweler's Shop;Joaillerie;;;;;;;;;;;;;x
ct_jeweler_4;Jeweler's Shop;Joaillerie;;;;;;;;;;;;;x
ct_jeweler_5;Jeweler's Shop;Joaillerie;;;;;;;;;;;;;x
ct_jeweler_6;Jeweler's Shop;Joaillerie;;;;;;;;;;;;;x
ct_jeweler_desc;Jewelers cut gems and reveal their true value.;Les joaillers taillent les pierres précieuses et révèlent leur vraie valeur.;;;;;;;;;;;;;x
tp_dwarven_ancestors;Halls of the Ancestors;Salles des Ancêtres;;;;;x;;;;;;;;;
tp_dwarven_ancestors_desc;Dwarves revere their ancestors, and in this room have carved homages of the most famous of their kin to honor them.;Les Nains vouent un culte à leurs ancêtres, et dans cette salle, ont sculpté les visages des plus célèbres d'entre eux afin de leur rendre hommage.;;;;;x;;;;;;;;;
ct_Dwater_system_0;No Water System;Pas d'Eau Courante;;;;;x
ct_Dwater_system_1;Basic Water System;Egouts et Acqueducs;;;;;x
ct_Dwater_system_2;Advanced Water System;Egouts et Acqueducs Avancés;;;;;x
